title,authors,categories,published_year,average_rating,num_pages,ratings_count
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,2007.0,4.18,374.0,70683.0
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,2007.0,3.88,126.0,27390.0
The Alchemist - Gift Edition,Paulo Coelho,Fiction,2006.0,3.85,192.0,814.0
Eaters of the Dead,Michael Crichton,Fiction,2006.0,3.66,304.0,27412.0
The Crying of Lot 49,Thomas Pynchon,Fiction,1966.0,3.7,152.0,54061.0
Tell My Horse,Zora Neale Hurston,Fiction,1990.0,3.97,311.0,1380.0
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,1990.0,4.0,229.0,1619.0
The Complete Stories,Zora Neale Hurston,Fiction,1996.0,4.25,336.0,735.0
The Infinite Plan,Isabel Allende,Fiction,1994.0,3.71,384.0,7102.0
Success Stories,Russell Banks,Fiction,1996.0,3.72,192.0,148.0
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,1996.0,3.76,256.0,912.0
Slowness,Milan Kundera,Fiction,1997.0,3.66,156.0,9454.0
Brave New World,Aldous Huxley,Fiction,1998.0,3.98,288.0,1173739.0
You Can't Go Home Again,Thomas Wolfe,Fiction,1998.0,4.05,711.0,3922.0
The Fifth Mountain,Paulo Coelho,Fiction,1999.0,3.62,256.0,749.0
V.,Thomas Pynchon,Fiction,1999.0,3.96,547.0,1364.0
Identity,Milan Kundera,Fiction,1999.0,3.68,168.0,13065.0
Cloudsplitter,Russell Banks,Fiction,1999.0,3.9,758.0,3489.0
The Crying of Lot 49,Thomas Pynchon,Fiction,1999.0,3.7,152.0,2132.0
The Odyssey of Homer,Homer,Fiction,1999.0,3.75,374.0,1100.0
Collected Novellas,Gabriel Garcia Marquez,Fiction,1999.0,4.01,288.0,822.0
Collected Stories,Gabriel Garcia Marquez,Fiction,1999.0,4.19,352.0,6132.0
The Darling,Russell Banks,Fiction,2005.0,3.78,400.0,1939.0
Gold Bug Variations,Richard Powers,Fiction,1992.0,4.13,640.0,1383.0
Three Farmers on Their Way to a Dance,Richard Powers,Fiction,1992.0,3.84,352.0,709.0
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,1996.0,3.69,496.0,457.0
Operation Wandering Soul,Richard Powers,Fiction,1994.0,3.62,352.0,366.0
Prisoner's Dilemma,Richard Powers,Fiction,1996.0,3.87,352.0,517.0
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,2000.0,3.52,372.0,53017.0
Cat Laughing Last,Shirley Rousseau Murphy,Fiction,2002.0,4.21,368.0,638.0
The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction,1999.0,3.7,336.0,1334.0
Well of Darkness,Margaret Weis;Tracy Hickman,Fiction,2001.0,3.66,562.0,2010.0
The Light Fantastic,Terry Pratchett,Fiction,2000.0,3.97,241.0,86465.0
My Soul to Keep,Tananarive Due,Fiction,1998.0,4.18,346.0,3575.0
Peril's Gate,Janny Wurts,Fiction,2002.0,4.15,940.0,518.0
Fugitive Prince,Janny Wurts,Fiction,1998.0,3.88,704.0,59.0
Love in Vein,Poppy Z. Brite,Fiction,1995.0,3.6,397.0,2391.0
Cat on the Edge,Shirley Rousseau Murphy,Fiction,1996.0,3.9,274.0,1855.0
Cat in the Dark,Shirley Rousseau Murphy,Fiction,1999.0,4.25,320.0,696.0
Treasure Box,Orson Scott Card,Fiction,1997.0,3.32,384.0,3603.0
Homebody,Orson Scott Card,Fiction,1999.0,3.39,430.0,2660.0
Imajica II,Clive Barker,Fiction,1995.0,4.42,544.0,2538.0
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,2006.0,3.9,219.0,209110.0
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2006.0,4.06,448.0,1510.0
Daughter of Fortune,Isabel Allende,Fiction,2006.0,3.9,432.0,95447.0
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,2006.0,3.57,208.0,68403.0
The Alchemist,Paulo Coelho,Fiction,2006.0,3.85,197.0,1592632.0
Veronika Decides to Die,Paulo Coelho,Fiction,2006.0,3.7,210.0,126224.0
Charlotte's Web Signature Edition,E. B. White,Juvenile Fiction,2006.0,4.16,224.0,226.0
Factotum tie-in,Charles Bukowski,Fiction,2006.0,3.96,208.0,395.0
Spider's House,Paul Bowles,Fiction,2006.0,4.03,432.0,1060.0
Days,Paul Bowles,Fiction,2006.0,3.3,128.0,117.0
Coraline,Neil Gaiman,Fiction,2006.0,4.05,162.0,377685.0
Points in Time,Paul Bowles,Fiction,2006.0,3.68,96.0,173.0
At the Edge,Cait London,Fiction,2007.0,3.79,384.0,272.0
Stardust,Neil Gaiman,Fiction,2006.0,4.08,248.0,264799.0
The Gabriel Hounds,Mary Stewart,Fiction,2006.0,3.91,322.0,3542.0
The Pact,Jodi Picoult,Fiction,2006.0,4.01,512.0,237587.0
Ines of My Soul LP,Isabel Allende,Fiction,2006.0,3.92,528.0,45.0
Women,Charles Bukowski,Fiction,2007.0,3.87,291.0,49265.0
What A Lady Wants,Victoria Alexander,Fiction,2009.0,,,
A Little Bit Wicked,Victoria Alexander,Fiction,2009.0,,,
The Valkyries,Paulo Coelho,Fiction,1996.0,3.31,212.0,696.0
Betsy-Tacy,Maud Hart Lovelace,Juvenile Fiction,1993.0,4.07,144.0,20496.0
Betsy and Tacy Go Over the Big Hill,Maud Hart Lovelace,Juvenile Fiction,1993.0,4.17,192.0,7661.0
Heaven to Betsy,Maud Hart Lovelace,Juvenile Fiction,1945.0,4.29,368.0,5224.0
Racso and the Rats of NIMH,Jane Leslie Conly,Juvenile Fiction,1988.0,3.76,288.0,3231.0
Child of the Owl,Laurence Yep,Juvenile Fiction,1990.0,3.6,288.0,423.0
"R-T, Margaret, and the Rats of NIMH",Jane Leslie Conly,Juvenile Fiction,1991.0,3.52,272.0,631.0
The Rainbow People,Laurence Yep,Juvenile Fiction,1992.0,3.75,208.0,202.0
Dragon's Gate,Laurence Yep,Juvenile Fiction,1995.0,3.67,352.0,1806.0
Betsy's Wedding,Maud Hart Lovelace,Juvenile Fiction,1996.0,4.31,260.0,4054.0
Betsy and the Great World,Maud Hart Lovelace,Juvenile Fiction,1996.0,4.13,321.0,4689.0
Betsy and Joe,Maud Hart Lovelace,Juvenile Fiction,1995.0,4.31,336.0,4411.0
Betsy Was a Junior,Maud Hart Lovelace,Juvenile Fiction,1995.0,4.17,320.0,4744.0
Crazy Lady!,Jane Leslie Conly,Juvenile Fiction,1995.0,3.64,192.0,1481.0
Seven Spiders Spinning,Gregory Maguire,Juvenile Fiction,1995.0,3.61,144.0,259.0
American Dragons,Laurence Yep,Juvenile Fiction,1995.0,3.41,256.0,63.0
Winter on the Farm,Laura Ingalls Wilder,Juvenile Fiction,1997.0,4.13,32.0,400.0
Emily of Deep Valley,Maud Hart Lovelace,Juvenile Fiction,2000.0,4.23,304.0,2637.0
The Trumpet of the Swan,E. B. White,Juvenile Fiction,2000.0,4.07,252.0,61304.0
The Good Liar,Gregory Maguire,Juvenile Fiction,2002.0,3.53,144.0,122.0
Four Stupid Cupids,Gregory Maguire,Juvenile Fiction,2001.0,3.52,224.0,110.0
Charlotte's Web (full color),E. B. White,Juvenile Fiction,2001.0,4.16,184.0,1229902.0
